,category_id,views,likes,dislikes,category
0,1,436922977,7279135,380977,Film & Animation
1,2,18588036,333534,21833,Autos & Vehicles
2,10,7171555706,183595165,6928483,Music
3,15,25506465,762259,17676,Pets & Animals
4,17,179537899,3324131,276391,Sports
5,19,10010274,82323,3351,Travel & Events
6,20,122498340,4184289,161866,Gaming
7,22,287677965,8534993,743173,People & Blogs
8,23,333434862,11553797,392908,Comedy
9,24,1712607287,46722256,4139795,Entertainment
10,25,88134113,1797503,238969,News & Politics
11,26,76485808,3299313,105522,Howto & Style
12,27,26685905,971022,37696,Education
13,28,79238961,1686550,85680,Science & Technology
14,43,1360139,41532,308,Shows
