,Video ID,Days Trending,Title
0,j4KvrAUjn6c,30,WE MADE OUR MOM CRY...HER DREAM CAME TRUE!
1,NBSAQenU2Bk,29,Rooster Teeth Animated Adventures - Millie So Serious
2,8h--kFui1JA,29,Sam Smith - Pray (Official Video) ft. Logic
3,iILJvqrAQ_w,29,Charlie Puth - BOY [Official Audio]
4,QBL8IRJ5yHU,29,Why I'm So Scared (being myself and crying too much)
5,t4pRQ0jn23Q,29,YoungBoy Never Broke Again Goes Sneaker Shopping With Complex
6,MAjY8mCTXWk,29,"If You Don't Love Me, It's Fine】Official MV"
7,r-3iathMo7o,29,"The ULTIMATE $30,000 Gaming PC Setup"
8,UfKmSfgFxi8,28,FORTNITE The Movie (Official Fake Trailer
9,mdWcaWBxxcY,28,"Rita Ora - Girls ft. Cardi B, Bebe Rexha & Charli XCX (Official Lyric Video)"
